,name,ratings,service_type,reviews,salaries,interviews,jobs,benefits,photos
24,Reliance Industries,4.0,Oil & Gas | Jamnagar +814 other locations,19.8k Reviews,72.4k Salaries,1.6k Interviews,52 Jobs,1.8k Benefits,38 Photos
25,Vodafone Idea,3.9,Telecom | Pune +703 other locations,17.5k Reviews,50.1k Salaries,671 Interviews,44 Jobs,2k Benefits,22 Photos
26,Bharti Airtel,3.8,Telecom | Gurgaon / Gurugram +790 other locations,16.9k Reviews,49k Salaries,1.1k Interviews,144 Jobs,1.6k Benefits,101 Photos
27,BYJU'S,3.2,EdTech | Bangalore / Bengaluru +321 other locations,16.4k Reviews,53.3k Salaries,2.1k Interviews,-- Jobs,1.7k Benefits,28 Photos
28,WNS,3.3,IT Services & Consulting | Pune +65 other locations,14.8k Reviews,69k Salaries,1.2k Interviews,104 Jobs,1.3k Benefits,24 Photos
29,IDFC FIRST Bank,3.9,Banking | Mumbai +714 other locations,14k Reviews,48.9k Salaries,912 Interviews,26 Jobs,692 Benefits,96 Photos
30,Tata Motors,4.1,Automobile | Pune +506 other locations,14k Reviews,42.7k Salaries,1.2k Interviews,180 Jobs,1.6k Benefits,43 Photos
31,Ernst & Young,3.4,Management Consulting | Bangalore / Bengaluru +132 other locations,13.9k Reviews,1.4L Salaries,1.3k Interviews,2.5k Jobs,1.2k Benefits,7 Photos
32,IndusInd Bank,3.4,Banking | Mumbai +788 other locations,13.8k Reviews,52k Salaries,753 Interviews,127 Jobs,793 Benefits,16 Photos
33,AU Small Finance Bank,3.9,Banking | Jaipur +783 other locations,13.8k Reviews,29k Salaries,672 Interviews,52 Jobs,577 Benefits,27 Photos
34,Flipkart,3.9,Internet | Bangalore / Bengaluru +558 other locations,12.6k Reviews,54.4k Salaries,1.6k Interviews,180 Jobs,1.4k Benefits,102 Photos
35,Bajaj Finserv,3.9,NBFC | Pune +1166 other locations,12.6k Reviews,30.1k Salaries,712 Interviews,9 Jobs,706 Benefits,16 Photos
36,Muthoot FinCorp,4.5,NBFC | Bangalore / Bengaluru +1094 other locations,12.1k Reviews,9k Salaries,2.2k Interviews,52 Jobs,275 Benefits,103 Photos
37,PwC,3.3,Management Consulting | Bangalore / Bengaluru +132 other locations,12k Reviews,1.2L Salaries,1.5k Interviews,875 Jobs,800 Benefits,24 Photos
38,Mahindra & Mahindra,4.0,Automobile | Pune +561 other locations,11.8k Reviews,39.7k Salaries,837 Interviews,1 Jobs,1.2k Benefits,19 Photos
39,DXC Technology,3.6,IT Services & Consulting | Bangalore / Bengaluru +132 other locations,11.8k Reviews,73.3k Salaries,886 Interviews,205 Jobs,1.1k Benefits,6 Photos
40,Infosys BPM,3.5,BPO | Bangalore / Bengaluru +95 other locations,11.7k Reviews,73k Salaries,1.1k Interviews,86 Jobs,1.1k Benefits,6 Photos
41,HDFC Life,3.9,Insurance | Mumbai +700 other locations,11.7k Reviews,33k Salaries,774 Interviews,137 Jobs,614 Benefits,55 Photos
42,Bandhan Bank,3.7,Banking | Kolkata +995 other locations,10.7k Reviews,24.7k Salaries,730 Interviews,14 Jobs,517 Benefits,43 Photos
43,Conneqt Business Solutions,3.5,BPO | Hyderabad / Secunderabad +266 other locations,10.1k Reviews,26.2k Salaries,547 Interviews,350 Jobs,772 Benefits,47 Photos
44,Mphasis,3.3,IT Services & Consulting | Bangalore / Bengaluru +63 other locations,10.1k Reviews,73.2k Salaries,915 Interviews,53 Jobs,846 Benefits,129 Photos
45,Yes Bank,3.6,Banking | Mumbai +538 other locations,9.9k Reviews,43.1k Salaries,544 Interviews,147 Jobs,608 Benefits,18 Photos
46,Tata Steel,4.0,Iron & Steel | Jamshedpur +229 other locations,9.7k Reviews,33.9k Salaries,1k Interviews,-- Jobs,659 Benefits,52 Photos
47,Quess,3.8,Recruitment | Bangalore / Bengaluru +741 other locations,9.5k Reviews,30.8k Salaries,529 Interviews,24 Jobs,440 Benefits,22 Photos
48,Maruti Suzuki,4.2,Automobile | Gurgaon / Gurugram +452 other locations,9.4k Reviews,28k Salaries,767 Interviews,712 Jobs,1.1k Benefits,25 Photos
49,Asian Paints,4.0,Chemicals | Mumbai +548 other locations,9.3k Reviews,25.3k Salaries,837 Interviews,70 Jobs,884 Benefits,34 Photos
50,Startek,3.1,BPO | Bangalore / Bengaluru +105 other locations,9.3k Reviews,24.5k Salaries,620 Interviews,132 Jobs,681 Benefits,16 Photos
51,UltraTech Cement,4.1,Building Material | Mumbai +535 other locations,9.2k Reviews,23.6k Salaries,777 Interviews,30 Jobs,619 Benefits,46 Photos
52,Paytm,3.2,FinTech | Noida +418 other locations,9.2k Reviews,34.1k Salaries,882 Interviews,383 Jobs,582 Benefits,24 Photos
53,Shriram Finance,4.0,NBFC | Chennai +1111 other locations,8.9k Reviews,15k Salaries,439 Interviews,5 Jobs,21 Benefits,44 Photos
54,Bajaj Finance,3.9,NBFC | Pune +971 other locations,8.9k Reviews,22.5k Salaries,425 Interviews,7.2k Jobs,502 Benefits,15 Photos
55,Sutherland Global Services,3.4,BPO | Chennai +82 other locations,8.8k Reviews,34.5k Salaries,775 Interviews,204 Jobs,901 Benefits,30 Photos
