name,industry,ratings,reviews,salaries,interviews,jobs,benefits,photos,hq,more_locations
IIFL Finance,NBFC,4.0,6200.0,1410000.0,323.0,75.0,399.0,18.0,Mumbai,801
Oracle,Software Product,3.5,6200.0,6260000.0,944.0,1100.0,617.0,39.0,Bangalore / Bengaluru,56
Indian Army,Defence & Aerospace,4.7,6200.0,950000.0,202.0,0.0,728.0,8.0,New Delhi,365
Muthoot Finance,NBFC,3.7,6200.0,1300000.0,344.0,92.0,325.0,12.0,Bangalore / Bengaluru,784
Omega Healthcare,BPO,3.8,6200.0,2640000.0,541.0,114.0,391.0,26.0,Chennai,69
JLL,Real Estate,4.1,6200.0,2420000.0,480.0,234.0,539.0,21.0,Gurgaon / Gurugram,84
eClerx,IT Services & Consulting,3.1,6100.0,3190000.0,628.0,319.0,555.0,26.0,Pune,32
HCL Group,IT Services & Consulting,3.5,6100.0,3979999.9999999995,514.0,0.0,661.0,1.0,Chennai,97
Piramal Finance,NBFC,4.2,6000.0,1270000.0,291.0,6.0,445.0,4.0,Mumbai,423
Virtusa Consulting Services,IT Services & Consulting,3.7,5900.0,5650000.0,665.0,1400.0,318.0,23.0,Hyderabad / Secunderabad,55
DMart,Retail,3.9,5900.0,1830000.0,541.0,212.0,470.0,17.0,Mumbai,247
HSBC Group,Financial Services,3.9,5800.0,4280000.0,545.0,134.0,1100.0,26.0,Bangalore / Bengaluru,63
Indiamart Intermesh,Internet,3.5,5800.0,2050000.0,743.0,554.0,432.0,17.0,Noida,173
SMFG India Credit,NBFC,3.9,5800.0,1100000.0,205.0,80.0,348.0,18.0,Mumbai,595
Udaan,Internet,3.9,5700.0,1560000.0,372.0,5.0,755.0,16.0,Bangalore / Bengaluru,368
Aurobindo Pharma,Pharma,4.0,5700.0,2070000.0,286.0,18.0,468.0,9.0,Hyderabad / Secunderabad,115
Siemens,Industrial Automation,3.9,5700.0,3350000.0,503.0,802.0,633.0,13.0,Bangalore / Bengaluru,152
Access Healthcare,BPO,3.7,5700.0,2840000.0,390.0,572.0,347.0,9.0,Chennai,64
BigBasket,Internet,3.9,5700.0,1920000.0,476.0,88.0,381.0,36.0,Bangalore / Bengaluru,139
Manappuram Finance,NBFC,3.9,5600.0,910000.0,220.0,4.0,260.0,35.0,Bangalore / Bengaluru,649
PolicyBazaar,Internet,3.7,5600.0,1710000.0000000002,621.0,478.0,231.0,22.0,Gurgaon / Gurugram,149
Tata Capital,NBFC,4.0,5600.0,1580000.0,266.0,3500.0,258.0,23.0,Mumbai,439
ICICI Lombard General Insurance Company,Insurance,3.5,5600.0,2010000.0000000002,353.0,198.0,366.0,15.0,Mumbai,313
GlobalLogic,IT Services & Consulting,3.5,5600.0,4029999.9999999995,677.0,47.0,515.0,21.0,Hyderabad / Secunderabad,60
Shapoorji Pallonji Group,Engineering & Construction,4.1,5600.0,1530000.0,418.0,79.0,632.0,14.0,Mumbai,189
